,Genero,Idade,AnoMes,Qtd,previsao
139,Homens,0 a 4 anos,2020-08-01,146.0,162.70113642084948
140,Homens,0 a 4 anos,2020-09-01,116.0,148.44706436522165
141,Homens,0 a 4 anos,2020-10-01,132.0,152.16883700755236
142,Homens,0 a 4 anos,2020-11-01,117.0,148.92088900491493
143,Homens,0 a 4 anos,2020-12-01,128.0,165.13052435324715
144,Homens,10 a 14 anos,2009-01-01,11.0,
145,Homens,10 a 14 anos,2009-02-01,7.0,
146,Homens,10 a 14 anos,2009-03-01,11.0,
147,Homens,10 a 14 anos,2009-04-01,18.0,
148,Homens,10 a 14 anos,2009-05-01,15.0,
149,Homens,10 a 14 anos,2009-06-01,11.0,
150,Homens,10 a 14 anos,2009-07-01,14.0,
151,Homens,10 a 14 anos,2009-08-01,16.0,
152,Homens,10 a 14 anos,2009-09-01,9.0,
153,Homens,10 a 14 anos,2009-10-01,13.0,
154,Homens,10 a 14 anos,2009-11-01,11.0,
155,Homens,10 a 14 anos,2009-12-01,17.0,
156,Homens,10 a 14 anos,2010-01-01,10.0,
157,Homens,10 a 14 anos,2010-02-01,13.0,
158,Homens,10 a 14 anos,2010-03-01,9.0,
159,Homens,10 a 14 anos,2010-04-01,9.0,
160,Homens,10 a 14 anos,2010-05-01,12.0,
161,Homens,10 a 14 anos,2010-06-01,10.0,
162,Homens,10 a 14 anos,2010-07-01,15.0,
163,Homens,10 a 14 anos,2010-08-01,12.0,
164,Homens,10 a 14 anos,2010-09-01,8.0,
165,Homens,10 a 14 anos,2010-10-01,14.0,
166,Homens,10 a 14 anos,2010-11-01,14.0,
167,Homens,10 a 14 anos,2010-12-01,15.0,
168,Homens,10 a 14 anos,2011-01-01,12.0,
169,Homens,10 a 14 anos,2011-02-01,13.0,
170,Homens,10 a 14 anos,2011-03-01,13.0,
171,Homens,10 a 14 anos,2011-04-01,14.0,
172,Homens,10 a 14 anos,2011-05-01,8.0,
173,Homens,10 a 14 anos,2011-06-01,11.0,
174,Homens,10 a 14 anos,2011-07-01,10.0,
175,Homens,10 a 14 anos,2011-08-01,17.0,
176,Homens,10 a 14 anos,2011-09-01,15.0,
177,Homens,10 a 14 anos,2011-10-01,11.0,
178,Homens,10 a 14 anos,2011-11-01,10.0,
179,Homens,10 a 14 anos,2011-12-01,17.0,
180,Homens,10 a 14 anos,2012-01-01,12.0,
181,Homens,10 a 14 anos,2012-02-01,9.0,
182,Homens,10 a 14 anos,2012-03-01,8.0,
183,Homens,10 a 14 anos,2012-04-01,13.0,
184,Homens,10 a 14 anos,2012-05-01,15.0,
185,Homens,10 a 14 anos,2012-06-01,13.0,
186,Homens,10 a 14 anos,2012-07-01,24.0,
187,Homens,10 a 14 anos,2012-08-01,5.0,
188,Homens,10 a 14 anos,2012-09-01,11.0,
189,Homens,10 a 14 anos,2012-10-01,9.0,
190,Homens,10 a 14 anos,2012-11-01,13.0,
191,Homens,10 a 14 anos,2012-12-01,7.0,
192,Homens,10 a 14 anos,2013-01-01,9.0,
193,Homens,10 a 14 anos,2013-02-01,9.0,
194,Homens,10 a 14 anos,2013-03-01,15.0,
195,Homens,10 a 14 anos,2013-04-01,13.0,
196,Homens,10 a 14 anos,2013-05-01,12.0,
197,Homens,10 a 14 anos,2013-06-01,15.0,
198,Homens,10 a 14 anos,2013-07-01,14.0,
199,Homens,10 a 14 anos,2013-08-01,9.0,
200,Homens,10 a 14 anos,2013-09-01,19.0,
201,Homens,10 a 14 anos,2013-10-01,15.0,
202,Homens,10 a 14 anos,2013-11-01,18.0,
203,Homens,10 a 14 anos,2013-12-01,6.0,
204,Homens,10 a 14 anos,2014-01-01,14.0,
205,Homens,10 a 14 anos,2014-02-01,15.0,
206,Homens,10 a 14 anos,2014-03-01,11.0,
207,Homens,10 a 14 anos,2014-04-01,11.0,
208,Homens,10 a 14 anos,2014-05-01,10.0,
209,Homens,10 a 14 anos,2014-06-01,9.0,
210,Homens,10 a 14 anos,2014-07-01,21.0,
211,Homens,10 a 14 anos,2014-08-01,12.0,
212,Homens,10 a 14 anos,2014-09-01,8.0,
213,Homens,10 a 14 anos,2014-10-01,13.0,
214,Homens,10 a 14 anos,2014-11-01,9.0,
215,Homens,10 a 14 anos,2014-12-01,10.0,
216,Homens,10 a 14 anos,2015-01-01,14.0,
217,Homens,10 a 14 anos,2015-02-01,10.0,
218,Homens,10 a 14 anos,2015-03-01,9.0,
219,Homens,10 a 14 anos,2015-04-01,8.0,
220,Homens,10 a 14 anos,2015-05-01,13.0,
221,Homens,10 a 14 anos,2015-06-01,17.0,
222,Homens,10 a 14 anos,2015-07-01,9.0,
223,Homens,10 a 14 anos,2015-08-01,7.0,
224,Homens,10 a 14 anos,2015-09-01,15.0,
225,Homens,10 a 14 anos,2015-10-01,7.0,
226,Homens,10 a 14 anos,2015-11-01,17.0,
227,Homens,10 a 14 anos,2015-12-01,15.0,
228,Homens,10 a 14 anos,2016-01-01,9.0,
229,Homens,10 a 14 anos,2016-02-01,12.0,
230,Homens,10 a 14 anos,2016-03-01,17.0,
231,Homens,10 a 14 anos,2016-04-01,12.0,
232,Homens,10 a 14 anos,2016-05-01,15.0,
233,Homens,10 a 14 anos,2016-06-01,11.0,
234,Homens,10 a 14 anos,2016-07-01,9.0,
235,Homens,10 a 14 anos,2016-08-01,6.0,
236,Homens,10 a 14 anos,2016-09-01,15.0,
237,Homens,10 a 14 anos,2016-10-01,10.0,
238,Homens,10 a 14 anos,2016-11-01,8.0,
239,Homens,10 a 14 anos,2016-12-01,10.0,
240,Homens,10 a 14 anos,2017-01-01,5.0,
241,Homens,10 a 14 anos,2017-02-01,11.0,
242,Homens,10 a 14 anos,2017-03-01,11.0,
243,Homens,10 a 14 anos,2017-04-01,13.0,
244,Homens,10 a 14 anos,2017-05-01,13.0,
245,Homens,10 a 14 anos,2017-06-01,8.0,
246,Homens,10 a 14 anos,2017-07-01,6.0,
247,Homens,10 a 14 anos,2017-08-01,12.0,
248,Homens,10 a 14 anos,2017-09-01,10.0,
249,Homens,10 a 14 anos,2017-10-01,7.0,
250,Homens,10 a 14 anos,2017-11-01,7.0,
251,Homens,10 a 14 anos,2017-12-01,4.0,
252,Homens,10 a 14 anos,2018-01-01,9.0,
253,Homens,10 a 14 anos,2018-02-01,13.0,
254,Homens,10 a 14 anos,2018-03-01,9.0,
255,Homens,10 a 14 anos,2018-04-01,9.0,
256,Homens,10 a 14 anos,2018-05-01,9.0,
257,Homens,10 a 14 anos,2018-06-01,7.0,
258,Homens,10 a 14 anos,2018-07-01,10.0,
259,Homens,10 a 14 anos,2018-08-01,12.0,
260,Homens,10 a 14 anos,2018-09-01,6.0,
261,Homens,10 a 14 anos,2018-10-01,13.0,
262,Homens,10 a 14 anos,2018-11-01,7.0,
263,Homens,10 a 14 anos,2018-12-01,12.0,
264,Homens,10 a 14 anos,2019-01-01,10.0,
265,Homens,10 a 14 anos,2019-02-01,7.0,
266,Homens,10 a 14 anos,2019-03-01,11.0,
267,Homens,10 a 14 anos,2019-04-01,8.0,
268,Homens,10 a 14 anos,2019-05-01,15.0,
269,Homens,10 a 14 anos,2019-06-01,9.0,
270,Homens,10 a 14 anos,2019-07-01,11.0,
271,Homens,10 a 14 anos,2019-08-01,12.0,
272,Homens,10 a 14 anos,2019-09-01,11.0,
273,Homens,10 a 14 anos,2019-10-01,10.0,
274,Homens,10 a 14 anos,2019-11-01,14.0,
275,Homens,10 a 14 anos,2019-12-01,9.0,
276,Homens,10 a 14 anos,2020-01-01,12.0,10.321426228217156
277,Homens,10 a 14 anos,2020-02-01,10.0,10.321426228217156
278,Homens,10 a 14 anos,2020-03-01,10.0,10.321426228217156
279,Homens,10 a 14 anos,2020-04-01,5.0,10.321426228217156
280,Homens,10 a 14 anos,2020-05-01,18.0,10.321426228217156
281,Homens,10 a 14 anos,2020-06-01,6.0,10.321426228217156
282,Homens,10 a 14 anos,2020-07-01,11.0,10.321426228217156
283,Homens,10 a 14 anos,2020-08-01,14.0,10.321426228217156
284,Homens,10 a 14 anos,2020-09-01,8.0,10.321426228217156
285,Homens,10 a 14 anos,2020-10-01,9.0,10.321426228217156
286,Homens,10 a 14 anos,2020-11-01,7.0,10.321426228217156
287,Homens,10 a 14 anos,2020-12-01,3.0,10.321426228217156
288,Homens,15 a 19 anos,2009-01-01,27.0,
289,Homens,15 a 19 anos,2009-02-01,22.0,
290,Homens,15 a 19 anos,2009-03-01,25.0,
